id,Label,tf,df,tdf
1070,tún,28,1,28
1071,poténsia,9,1,9
1072,validade,8,1,8
1073,balu,206,1,206
1074,especial,1,1,1
1075,monu,16,1,16
1076,dezastre,25,1,25
1077,viajante,4,1,4
1078,dnmg,33,1,33
1079,previzaun,8,1,8
1080,risku,39,1,39
1081,likisá,33,1,33
1082,ai-hún,6,1,6
1083,harii,49,1,49
1084,otél,4,1,4
1085,eskuadra,12,1,12
1086,hasai,30,1,30
1087,kanotak,3,1,3
1088,dezeñu,15,1,15
1089,aprova,57,1,57
1090,prestasaun,9,1,9
1091,kuaze,29,1,29
1092,sa’e,36,1,36
1093,fátima,3,1,3
1094,aprovasaun,18,1,18
1095,aleixo,8,1,8
1096,hira,5,1,5
1097,leten,27,1,27
1098,uitoan,20,1,20
1099,tenta,14,1,14
1100,kuandu,36,1,36
1101,kotuk,38,1,38
1102,para,78,1,78
1103,dolar,2,1,2
